path,classification,reason,recommended_action
.pytest_cache/.gitignore,SAFE_DELETE_CANDIDATE,cache/regenerated bytecode,delete only after confirming no tooling relies on it
.pytest_cache/CACHEDIR.TAG,SAFE_DELETE_CANDIDATE,cache/regenerated bytecode,delete only after confirming no tooling relies on it
.pytest_cache/README.md,SAFE_DELETE_CANDIDATE,cache/regenerated bytecode,delete only after confirming no tooling relies on it
.pytest_cache/v/cache/lastfailed,SAFE_DELETE_CANDIDATE,cache/regenerated bytecode,delete only after confirming no tooling relies on it
.pytest_cache/v/cache/nodeids,SAFE_DELETE_CANDIDATE,cache/regenerated bytecode,delete only after confirming no tooling relies on it
__pycache__/run_pipeline.cpython-312.pyc,SAFE_DELETE_CANDIDATE,cache/regenerated bytecode,delete only after confirming no tooling relies on it
artifacts/metrics/audited_final_model_decision.json,PROTECTED_DO_NOT_TOUCH,selected/final metric or decision artifact,preserve in place
artifacts/metrics/experiments/experiment_001_initial/all_evaluation_metrics.csv,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/experiment_001_initial/config.json,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/experiment_001_initial/diagnosis.md,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/experiment_001_initial/error_analysis.csv,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/experiment_001_initial/feature_importance.csv,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/experiment_001_initial/main_model_cv_results.csv,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/experiment_001_initial/metrics.csv,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/experiment_001_initial/panel_generalization_results.csv,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/experiment_001_initial/threshold_results.csv,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/experiment_002_f1_threshold/config.json,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/experiment_002_f1_threshold/diagnosis.md,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/experiment_002_f1_threshold/metrics.csv,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/experiment_003_youden_threshold/config.json,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/experiment_003_youden_threshold/diagnosis.md,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/experiment_003_youden_threshold/metrics.csv,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/experiment_004_extra_trees/config.json,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/experiment_004_extra_trees/diagnosis.md,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/experiment_004_extra_trees/metrics.csv,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/experiment_005_catboost/config.json,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/experiment_005_catboost/diagnosis.md,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/experiment_005_catboost/metrics.csv,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/experiment_006_ensemble_stack/config.json,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/experiment_006_ensemble_stack/diagnosis.md,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/experiment_006_ensemble_stack/metrics.csv,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/experiment_007_lr_ek_only/config.json,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/experiment_007_lr_ek_only/diagnosis.md,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/experiment_007_lr_ek_only/metrics.csv,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/experiment_008_ek_only_features/config.json,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/experiment_008_ek_only_features/diagnosis.md,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/experiment_008_ek_only_features/metrics.csv,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/experiment_009_al_only_features/config.json,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/experiment_009_al_only_features/diagnosis.md,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/experiment_009_al_only_features/metrics.csv,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/experiment_010_engineered_only/config.json,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/experiment_010_engineered_only/diagnosis.md,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/experiment_010_engineered_only/metrics.csv,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/lightgbm_balanced_regularized/config.json,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/lightgbm_balanced_regularized/metrics.csv,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/lightgbm_conservative_regularized/config.json,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/lightgbm_conservative_regularized/metrics.csv,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/lightgbm_current_best/config.json,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/lightgbm_current_best/metrics.csv,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/lightgbm_high_capacity_controlled/config.json,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/experiments/lightgbm_high_capacity_controlled/metrics.csv,ARCHIVE_PREVIOUS_RESULTS,generated experiment/report material,move only after human approval
artifacts/metrics/feature_list.json,ARCHIVE_PREVIOUS_RESULTS,generated artifact not identified as final,archive rather than delete
artifacts/metrics/final_config.json,PROTECTED_DO_NOT_TOUCH,selected/final metric or decision artifact,preserve in place
artifacts/metrics/final_feature_list.json,PROTECTED_DO_NOT_TOUCH,selected/final metric or decision artifact,preserve in place
artifacts/metrics/final_metrics.json,PROTECTED_DO_NOT_TOUCH,selected/final metric or decision artifact,preserve in place
artifacts/metrics/final_model_decision.json,PROTECTED_DO_NOT_TOUCH,selected/final metric or decision artifact,preserve in place
artifacts/metrics/final_threshold.json,PROTECTED_DO_NOT_TOUCH,selected/final metric or decision artifact,preserve in place
artifacts/metrics/optuna_medical_best_params.json,ARCHIVE_PREVIOUS_RESULTS,generated artifact not identified as final,archive rather than delete
artifacts/models/audited_master_only_lgbm/feature_columns.txt,ARCHIVE_PREVIOUS_RESULTS,generated artifact not identified as final,archive rather than delete
artifacts/models/audited_master_only_lgbm/full_model.joblib,ARCHIVE_PREVIOUS_RESULTS,generated artifact not identified as final,archive rather than delete
artifacts/models/experiments/experiment_001_initial/README.md,PROTECTED_DO_NOT_TOUCH,reproducibility-critical project file,preserve in place
artifacts/models/experiments/experiment_002_f1_threshold/README.md,PROTECTED_DO_NOT_TOUCH,reproducibility-critical project file,preserve in place
artifacts/models/experiments/experiment_003_youden_threshold/README.md,PROTECTED_DO_NOT_TOUCH,reproducibility-critical project file,preserve in place
artifacts/models/experiments/experiment_004_extra_trees/README.md,PROTECTED_DO_NOT_TOUCH,reproducibility-critical project file,preserve in place
artifacts/models/experiments/experiment_005_catboost/README.md,PROTECTED_DO_NOT_TOUCH,reproducibility-critical project file,preserve in place
artifacts/models/experiments/experiment_006_ensemble_stack/README.md,PROTECTED_DO_NOT_TOUCH,reproducibility-critical project file,preserve in place
artifacts/models/experiments/experiment_007_lr_ek_only/README.md,PROTECTED_DO_NOT_TOUCH,reproducibility-critical project file,preserve in place
artifacts/models/experiments/experiment_008_ek_only_features/README.md,PROTECTED_DO_NOT_TOUCH,reproducibility-critical project file,preserve in place
artifacts/models/experiments/experiment_009_al_only_features/README.md,PROTECTED_DO_NOT_TOUCH,reproducibility-critical project file,preserve in place
artifacts/models/experiments/experiment_010_engineered_only/README.md,PROTECTED_DO_NOT_TOUCH,reproducibility-critical project file,preserve in place
